ID,site.ID,region,region.ID,subregion,subregion.ID,year,season.phase,season.phase.ID,type,type.ID,sex,sex.ID,INF status,Affiliation,State,City,Zipcode,Date Collected,Date Sampled,Date Processed,Method
11286,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Mt Pleasant,15666,8/11/2011,8/25/2011,9/4/2012,tape
11290,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Mt Pleasant,15666,8/11/2011,8/25/2011,9/4/2012,tape
11291,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Mt Pleasant,15666,8/11/2011,8/25/2011,9/4/2012,tape
11293,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Mt Pleasant,15666,8/11/2011,8/25/2011,9/4/2012,tape
11295,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Mt Pleasant,15666,8/11/2011,8/25/2011,9/4/2012,tape
11296,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Mt Pleasant,15666,8/11/2011,8/25/2011,9/4/2012,tape
11298,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Mt Pleasant,15666,8/11/2011,8/26/2011,9/4/2012,tape
11300,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Mt Pleasant,15666,8/11/2011,8/26/2011,9/4/2012,tape
11301,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Mt Pleasant,15666,8/11/2011,8/26/2011,9/4/2012,tape
11305,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Mt Pleasant,15666,8/11/2011,8/27/2011,9/4/2012,tape
11283,33,Summer-breeding,1,Northeast,1,1,August,2,A,2,M,2,0,,PA,Mt Pleasant,15666,8/11/2011,8/20/2011,9/4/2012,tape
11287,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,M,2,0,,PA,Mt Pleasant,15666,2011,8/25/2011,9/4/2012,tape
11289,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,M,2,0,,PA,Mt Pleasant,15666,8/11/2011,8/25/2011,9/4/2012,tape
11292,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,M,2,0,,PA,Mt Pleasant,15666,8/11/2011,8/25/2011,9/4/2012,tape
11294,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,M,2,0,,PA,Mt Pleasant,15666,8/11/2011,8/25/2011,9/4/2012,tape
11297,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,M,2,0,,PA,Mt Pleasant,15666,8/11/2011,8/26/2011,9/4/2012,tape
11299,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,M,2,0,,PA,Mt Pleasant,15666,8/11/2011,8/26/2011,9/4/2012,tape
11302,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,M,2,0,,PA,Mt Pleasant,15666,8/11/2011,8/27/2011,9/4/2012,tape
11303,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,M,2,0,,PA,Mt Pleasant,15666,8/11/2011,8/27/2011,9/4/2012,tape
11304,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,M,2,0,,PA,Mt Pleasant,15666,8/11/2011,8/27/2011,9/4/2012,tape
11307,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,M,2,0,,PA,Mt Pleasant,15666,8/11/2011,8/28/2011,9/4/2012,tape
11310,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,M,2,0,,PA,Mt Pleasant,15666,8/11/2011,8/28/2011,9/4/2012,tape
